A009,A008,S020,X002,X003,X001,X051,E033,B008,S012,S003,COW_NUM,A165,A170,A173,X002_02,X002_02A,X002_02B,X002_03,X003R,X003R2,country_code,age,sex,cohort,health,happy,year
1,1,1982,1944,38,1,-4,3,-4,-4,840,2,-1,10,7,-4,-4,-4,-4,3,2,840,38,1,1944,5,4,1982
2,2,1982,1954,28,1,-4,2,-4,-4,840,2,2,9,7,-4,-4,-4,-4,2,1,840,28,1,1954,4,3,1982
1,1,1982,1958,24,1,-4,8,-4,-4,840,2,2,8,9,-4,-4,-4,-4,1,1,840,24,1,1958,5,4,1982
1,2,1982,1929,53,1,-4,9,-4,-4,840,2,1,10,7,-4,-4,-4,-4,4,3,840,53,1,1929,5,3,1982
1,1,1982,1943,39,1,-4,10,-4,-4,840,2,1,10,10,-4,-4,-4,-4,3,2,840,39,1,1943,5,4,1982
2,2,1982,1933,49,1,-4,4,-4,-4,840,2,2,7,4,-4,-4,-4,-4,4,2,840,49,1,1933,4,3,1982
2,1,1982,1945,37,1,-4,7,-4,-4,840,2,1,8,6,-4,-4,-4,-4,3,2,840,37,1,1945,4,4,1982
3,4,1982,1949,33,1,-4,6,-4,-4,840,2,2,1,9,-4,-4,-4,-4,2,2,840,33,1,1949,3,1,1982
2,2,1982,1943,39,1,-4,5,-4,-4,840,2,1,5,5,-4,-4,-4,-4,3,2,840,39,1,1943,4,3,1982
1,1,1982,1963,19,2,-4,-1,-4,-4,840,2,2,10,6,-4,-4,-4,-4,1,1,840,19,2,1963,5,4,1982
2,2,1982,1954,28,1,-4,5,-4,-4,840,2,2,8,7,-4,-4,-4,-4,2,1,840,28,1,1954,4,3,1982
1,2,1982,1952,30,1,-4,6,-4,-4,840,2,2,7,7,-4,-4,-4,-4,2,2,840,30,1,1952,5,3,1982
1,2,1982,1956,26,1,-4,10,-4,-4,840,2,2,8,9,-4,-4,-4,-4,2,1,840,26,1,1956,5,3,1982
1,2,1982,1961,21,2,-4,6,-4,-4,840,2,2,10,6,-4,-4,-4,-4,1,1,840,21,2,1961,5,3,1982
3,2,1982,1964,18,1,-4,5,-4,-4,840,2,2,5,8,-4,-4,-4,-4,1,1,840,18,1,1964,3,3,1982
1,2,1982,1964,18,1,-4,5,-4,-4,840,2,2,5,8,-4,-4,-4,-4,1,1,840,18,1,1964,5,3,1982
2,1,1982,1957,25,2,-4,-1,-4,-4,840,2,1,10,10,-4,-4,-4,-4,2,1,840,25,2,1957,4,4,1982
1,2,1982,1919,63,1,-4,8,-4,-4,840,2,2,10,10,-4,-4,-4,-4,5,3,840,63,1,1919,5,3,1982
3,3,1982,1945,37,2,-4,5,-4,-4,840,2,1,10,8,-4,-4,-4,-4,3,2,840,37,2,1945,3,2,1982
1,1,1982,1952,30,2,-4,7,-4,-4,840,2,1,10,8,-4,-4,-4,-4,2,2,840,30,2,1952,5,4,1982
2,2,1982,1955,27,2,-4,5,-4,-4,840,2,2,8,5,-4,-4,-4,-4,2,1,840,27,2,1955,4,3,1982
1,2,1982,1957,25,2,-4,5,-4,-4,840,2,2,9,7,-4,-4,-4,-4,2,1,840,25,2,1957,5,3,1982
3,3,1982,1915,67,1,-4,7,-4,-4,840,2,2,4,8,-4,-4,-4,-4,6,3,840,67,1,1915,3,2,1982
2,2,1982,1929,53,2,-4,6,-4,-4,840,2,-1,8,9,-4,-4,-4,-4,4,3,840,53,2,1929,4,3,1982
2,2,1982,1958,24,2,-4,5,-4,-4,840,2,2,8,7,-4,-4,-4,-4,1,1,840,24,2,1958,4,3,1982
1,2,1982,1951,31,1,-4,5,-4,-4,840,2,2,10,9,-4,-4,-4,-4,2,2,840,31,1,1951,5,3,1982
2,2,1982,1959,23,2,-4,7,-4,-4,840,2,1,8,8,-4,-4,-4,-4,1,1,840,23,2,1959,4,3,1982
1,2,1982,1929,53,2,-4,6,-4,-4,840,2,1,6,6,-4,-4,-4,-4,4,3,840,53,2,1929,5,3,1982
1,2,1982,1950,32,2,-4,4,-4,-4,840,2,1,8,5,-4,-4,-4,-4,2,2,840,32,2,1950,5,3,1982
1,2,1982,1940,42,1,-4,8,-4,-4,840,2,2,9,8,-4,-4,-4,-4,3,2,840,42,1,1940,5,3,1982
1,1,1982,1961,21,2,-4,8,-4,-4,840,2,1,9,10,-4,-4,-4,-4,1,1,840,21,2,1961,5,4,1982
1,1,1982,1962,20,1,-4,10,-4,-4,840,2,2,10,9,-4,-4,-4,-4,1,1,840,20,1,1962,5,4,1982
5,4,1982,1916,66,2,-4,5,-4,-4,840,2,2,3,4,-4,-4,-4,-4,6,3,840,66,2,1916,1,1,1982
3,1,1982,1964,18,2,-4,6,-4,-4,840,2,2,8,7,-4,-4,-4,-4,1,1,840,18,2,1964,3,4,1982
3,2,1982,1941,41,1,-4,4,-4,-4,840,2,2,6,9,-4,-4,-4,-4,3,2,840,41,1,1941,3,3,1982
1,3,1982,1937,45,1,-4,5,-4,-4,840,2,1,6,8,-4,-4,-4,-4,4,2,840,45,1,1937,5,2,1982
4,4,1982,1913,69,2,-4,4,-4,-4,840,2,2,2,2,-4,-4,-4,-4,6,3,840,69,2,1913,2,1,1982
2,2,1982,1960,22,2,-4,6,-4,-4,840,2,2,9,5,-4,-4,-4,-4,1,1,840,22,2,1960,4,3,1982
3,2,1982,1961,21,2,-4,6,-4,-4,840,2,2,7,8,-4,-4,-4,-4,1,1,840,21,2,1961,3,3,1982
1,4,1982,1954,28,2,-4,5,-4,-4,840,2,2,2,1,-4,-4,-4,-4,2,1,840,28,2,1954,5,1,1982
3,1,1982,1960,22,2,-4,5,-4,-4,840,2,2,9,5,-4,-4,-4,-4,1,1,840,22,2,1960,3,4,1982
2,1,1982,1958,24,1,-4,6,-4,-4,840,2,2,8,7,-4,-4,-4,-4,1,1,840,24,1,1958,4,4,1982
2,1,1982,1960,22,1,-4,6,-4,-4,840,2,-1,7,9,-4,-4,-4,-4,1,1,840,22,1,1960,4,4,1982
3,4,1982,1922,60,2,-4,9,-4,-4,840,2,2,6,7,-4,-4,-4,-4,5,3,840,60,2,1922,3,1,1982
2,1,1982,1957,25,2,-4,3,-4,-4,840,2,2,8,10,-4,-4,-4,-4,2,1,840,25,2,1957,4,4,1982
1,1,1982,1962,20,2,-4,4,-4,-4,840,2,2,9,9,-4,-4,-4,-4,1,1,840,20,2,1962,5,4,1982
