S003,COUNTRY_ALPHA,COW_NUM,COW_ALPHA,S012,S001,S022,S023,X003,X001,X002,S020,A009,A008,year,year2,country_code,age,sex,cohort,health,happy
840,USA,2,USA,-4,2,199509,199512,34,2,1961,1995,1,2,1995,1995,840,34,2,1961,5,3
840,USA,2,USA,-4,2,199509,199512,35,2,1960,1995,1,1,1995,1995,840,35,2,1960,5,4
840,USA,2,USA,-4,2,199509,199512,49,1,1945,1995,2,1,1995,1995,840,49,1,1945,4,4
840,USA,2,USA,-4,2,199509,199512,53,2,1942,1995,4,1,1995,1995,840,53,2,1942,2,4
840,USA,2,USA,-4,2,199509,199512,40,2,1955,1995,1,1,1995,1995,840,40,2,1955,5,4
840,USA,2,USA,-4,2,199509,199512,67,1,1927,1995,3,2,1995,1995,840,67,1,1927,3,3
840,USA,2,USA,-4,2,199509,199512,18,2,1977,1995,2,2,1995,1995,840,18,2,1977,4,3
840,USA,2,USA,-4,2,199509,199512,25,2,1969,1995,1,2,1995,1995,840,25,2,1969,5,3
840,USA,2,USA,-4,2,199509,199512,29,1,1966,1995,2,2,1995,1995,840,29,1,1966,4,3
840,USA,2,USA,-4,2,199509,199512,68,2,1927,1995,2,1,1995,1995,840,68,2,1927,4,4
840,USA,2,USA,-4,2,199509,199512,20,2,1975,1995,1,2,1995,1995,840,20,2,1975,5,3
840,USA,2,USA,-4,2,199509,199512,76,1,1919,1995,4,3,1995,1995,840,76,1,1919,2,2
840,USA,2,USA,-4,2,199509,199512,71,2,1924,1995,1,1,1995,1995,840,71,2,1924,5,4
840,USA,2,USA,-4,2,199509,199512,80,2,1915,1995,3,2,1995,1995,840,80,2,1915,3,3
840,USA,2,USA,-4,2,199509,199512,72,2,1923,1995,1,1,1995,1995,840,72,2,1923,5,4
840,USA,2,USA,-4,2,199509,199512,38,1,1956,1995,1,1,1995,1995,840,38,1,1956,5,4
840,USA,2,USA,-4,2,199509,199512,24,2,1971,1995,1,2,1995,1995,840,24,2,1971,5,3
840,USA,2,USA,-4,2,199509,199512,44,1,1950,1995,2,1,1995,1995,840,44,1,1950,4,4
840,USA,2,USA,-4,2,199509,199512,53,1,1942,1995,1,1,1995,1995,840,53,1,1942,5,4
